"LATITUDE","LONGITUDE"
21.7239571,88.0140973
22.5557121,88.4314935
22.3607463,88.3843561
26.5627186,89.5285502
27.1093148,88.2992366
27.2078648,88.0161657
27.1067863,88.0004464
27.0772224,88.0167869
26.731597,89.3516994
26.8824116,88.280195
25.0068118,88.1413925
26.6365492,89.2911701
23.6679813,87.6246786
23.685403,87.6669073
23.3942181,86.974318
27.0334405,88.2583237
26.9126542,88.4041592
22.558696,88.291111
24.1772454,88.2809401
22.6451745,87.3510504
22.6635468,87.7488449
22.5564967,87.1611018
22.8610431,87.3513221
23.4599194,88.3532473
23.1749879,87.9566288
22.5861383,88.4169173
22.8409198,88.6617168
22.6037159,88.6760973
22.7305843,88.5293896
22.7173619,88.4805323
22.0059826,88.8537512
23.3148176,86.0504568
23.338725,86.3599747
26.9723587,88.7005188
22.6066158,88.3953695
22.555247,88.412071
22.5808292,88.4030892
27.207781,88.0162752
27.1051193,88.002185
22.2716869,88.8042399
22.5612324,88.43256
22.6295203,88.5870856
22.5627133,88.3406568
22.5017868,88.3998417
24.9851802,87.9790813
22.4732633,88.4368052
21.633016,88.0763412
21.5604151,88.2693314
22.5466164,88.3197902
22.557585,88.361689
23.1861781,88.7620854
22.6482347,88.4429026
22.6437467,88.4386847
26.517635,89.2034073
26.6839307,88.3505051
27.0044031,88.260407
26.8798948,88.3031273
26.7263659,88.3953311
26.4220714,89.8249835
22.5731394,88.3629056
26.8015113,88.3401632
22.6520764,88.4462929
22.5259365,88.3701611
27.033676,88.2643318
26.6847539,88.325361
26.8792778,88.2776153
26.887378,88.2905102
26.9997487,88.2838443
27.0588965,88.2544827
27.0442313,88.2626862
26.6850929,88.4474513
22.517987,88.3020868
22.5370158,88.331666
22.5084586,88.3464128
22.5582383,88.3527619
22.5647837,88.4184865
22.4656671,88.1674482
22.4917655,88.3427811
22.4884606,88.3749783
22.47335,88.43154
22.4133587,88.434461
22.5627254,88.4185012
22.6936652,88.5053927
26.878062,88.4726836
26.9889839,88.1192029
22.6543834,88.3793664
21.8665968,88.1763554
22.6725704,88.3002198
22.5176648,88.2991308
22.5370144,88.4495623
22.4284313,88.4021551
23.6831016,87.6609582
23.6835158,87.6783008
22.569663,88.4493399
22.55744,88.2910929
23.706816,87.6757778
26.9946244,88.2854998
22.5673278,88.3373417
22.5391635,88.3311832
23.5975568,88.3920157
22.4654401,88.1681237
27.07703,88.016394
27.0453666,88.0379105
27.0343102,88.0793613
27.1054361,88.1448984
27.0886712,88.5038745
22.5587555,88.2912612
22.5357077,88.3318162
26.6459244,89.5490026
27.0493326,88.2659729
27.0606658,88.2547429
26.676762,88.411914
27.0593599,88.4694511
27.0550879,88.4263601
27.0580481,88.2543758
26.886093,88.3085781
27.0345109,88.264246
22.6311752,86.7643628
25.0087081,88.1248747
23.2154467,86.1144065
23.1893428,88.3876742
22.5123362,88.3597136
23.2683446,88.3844276
22.9699816,88.4447689
23.453905,88.3122485
22.2485177,88.6558457
22.5834551,88.2145167
24.9697765,88.1016827
27.0870404,88.6624038
22.676414,88.329627
22.5470934,88.3511764
27.0029169,88.2336761
26.7011106,88.4475803
27.121991,88.496815
27.0536721,88.4643822
26.9008588,88.5130343
22.4793752,88.195488
22.5804301,88.282823
22.5056899,88.2839644
26.918852,88.2926983
27.0208456,88.3065872
27.0429623,88.2630311
27.0078811,88.2541953
27.1118895,88.4686145
27.020155,88.5663713
27.064018,88.434448
22.593726,88.363037
22.6347334,88.3544004
22.55885,88.37127
22.4652626,88.1678373
27.0444237,88.2627039
27.0556856,88.4263587
26.7542824,89.5793039
25.0149882,88.1432689
26.6831612,89.7401164
27.0443537,88.2627815
25.1769072,87.911797
24.9578841,87.9770337
25.0106786,88.1413579
27.0492347,88.031054
26.9886709,88.1186497
27.077008,88.0164086
27.0916367,88.0158863
27.1512232,88.0102187
27.0931825,88.0130451
22.6214531,88.3513713
24.8184394,87.9530358
26.6970562,89.2852723
24.8737389,88.1304564
27.0443728,88.2627439
22.8365554,88.1406122
22.5457966,88.3435584
26.931841,88.450519
27.0032631,88.2515259
27.1087913,88.0556943
27.0856585,88.663393
26.047213,87.934452
26.931889,88.450694
22.044945,88.043408
26.8083944,88.3880792
26.8798146,88.2968546
27.0592024,88.0247247
26.6864114,89.2949227
26.6761063,89.6081209
26.7169198,89.7537444
22.546875,88.351258
27,88.28
27.03,88.27
21.860828,88.913859
27.0351989,88.2612419
23.6781454,87.6829064
23.6852998,86.9459671
26.6211863,89.3650654
22.9554281,86.8007559
26.8726136,89.0872133
24.9891069,87.9688352
24.944564,88.3006382
24.9332596,88.3342001
24.8081032,87.9192173
25.1445413,88.1741332
22.314625,87.305213
26.492542,89.527159
27.020967,88.404007
27.050222,88.448417
27.083894,88.663365
27.077048,88.432274
27.065315,88.429049
27.142146,88.595373
27.077482,88.503384
27.038054,88.462024
22.4981611,88.1942931
24.8044568,87.9320557
26.8744974,88.8551608
23.2109763,88.5011752
22.3481855,88.0711645
23.2153866,86.1144005
27.044,88.263
27.0826581,88.7004628
26.6459693,89.5489195
27.078,88.656
27.083,88.671
27.088,88.65
26.654823,88.4147072
27.0582277,88.2552016
27.0634634,88.4671122
22.6198145,88.3610684
27.06,88.7
22.6183091,88.3683372
26.728332,89.5565772
21.9081575,88.4683721
27.1275589,88.2771322
26.7284431,88.390075
22.4716337,88.3364407
22.5631064,88.4649009
22.4930201,88.354816
22.5376595,88.3350535
26.7210804,88.4248352
27.0248775,88.2696533
27.0799143,88.6940002
22.5748315,88.3607663
26.6380225,89.2864466
26.6918483,89.2530665
26.7644324,89.3614622
26.722095,88.387494
26.8209991,88.4514827
26.5668326,88.7603635
26.8439071,88.8384962
22.0568753,88.2507277
26.7520343,88.7921047
22.423221,88.386493
22.4682009,88.1400163
26.8149173,88.2802641
27.0438377,88.2647181
26.8638537,88.8062131
26.7687461,88.7936443
26.8917605,88.8611555
27.1021789,88.6344463
27.1066204,88.6494005
22.1902157,88.1969547
26.9923256,88.265239
26.8800006,88.4037137
27.0417042,88.2654184
27.0546924,88.2554054
26.9221,88.3493
27.097,88.0705
27.1435,88.0568
27.0885,88.2449
27.1166,88.0431
27.1264,88.0568
27.0867455,88.6606291
26.902982,88.4888052
27.0805257,88.6610413
27.0643137,88.4678042
27.0294526,88.2547394
26.6865022,88.2199639
22.5718966,88.3442954
26.9293806,88.4475355
27.0822069,88.1826639
26.9861827,88.8144636
26.850232,88.856318
26.5661129,88.7507343
26.7577015,88.5850813
27.0072976,88.7952054
27.1038507,88.8700497
27.1026061,88.6968141
27.1200141,88.8217512
26.8643299,88.466942
27.0031031,88.262814
26.6993661,88.3145793
27.0063204,88.0918124
27.0972364,88.0123544
27.0512831,88.0324245
27.0598137,88.4683514
27.0922441,88.6874955
23.2204106,88.3647645
27.05088,88.3796453
22.5126844,88.3537769
22.6031276,88.4165817
22.5701348,88.4543133
26.69195,88.3192306
24.8898623,87.9722071
22.5706494,88.4048581
22.5843948,88.4155011
27.1274728,88.0984192
27.0406723,88.2648069
27.0116876,88.2503414
26.7243637,88.3965139
26.6882894,88.3276175
25.526255,88.3587885
25.5556446,88.3354211
27.0451885,88.2662523
26.8890047,88.8652325
27.0624125,88.4620374
22.556944,88.291167
22.5656711,88.3523083
26.984163,88.281951
22.581327,88.258657
24.5207629,88.0358613
24.4644945,88.0134058
22.204708,88.127429
26.6379045,89.2852684
26.8549136,88.4606213
26.9795102,88.5078962
27.0604975,88.4677255
26.7920546,88.4489037
26.8750293,88.5801121
27.0446984,88.2637801
27.1163129,88.5854673
27.0566559,88.2561618
27.0890939,88.6605804
27.0619513,88.6329183
22.6573633,88.8674818
27.0854587,88.6626124
